draft,type,num,date,day,topics,slides,readings,assignments,
,,11,9-Oct,Wed,"* NoSQL Database Continued
* Object Document Mapper
* Database Design
* NoSQL Injection","* [More Mongoose](slides/12/mongoose.html)
* NoSQL Injection Example

__Midterm Practice__
 
* [midterm practice questions](resources/handouts/midterm/midterm_1_practice.pdf)
* [midterm practice questions with solutions](resources/handouts/midterm/midterm_1_practice_solutions.pdf)
  
<!--

 * Example Data (from CSCI-UA.60)
 * [book fields](resources/data/books_fields.txt)
 * [books](resources/data/books.csv)
 * [wifi](resources/data/wifi3.json) (NYC Open Data)

-->","[{{ site.book_js_6 }}]({{ site.book_js_6_link }})

* [Node: Up and Running by Mike Wilson, Tom Hughes-Croucher, Part 2 Chapter 6 Data Access (NoSQL and Document Stores,  MongoDB,  mongoose)](https://www.oreilly.com/library/view/node-up-and/9781449332235/ch06.html#id3216759)

OWASP

* [OWASP NoSQL Injection](https://www.owasp.org/index.php/Testing_for_NoSQL_injection)

MongoDB Documentation 

* [MongoDB Data Modeling Intro](https://docs.mongodb.com/manual/core/data-modeling-introduction/)
* [MongoDB Data Model Design](https://docs.mongodb.com/v3.2/core/data-model-design/)
* [MongoDB Embedded](https://docs.mongodb.com/manual/tutorial/model-embedded-one-to-many-relationships-between-documents/#data-modeling-example-one-to-many)
* [MongoDB Document References](https://docs.mongodb.com/manual/tutorial/model-referenced-one-to-many-relationships-between-documents/#data-modeling-publisher-and-books)
* [MongoDB Modeling Relationships / Examples](https://docs.mongodb.com/v3.2/applications/data-models-relationships/)
* [Mongoose Embedded Documents - Sub Docs](http://mongoosejs.com/docs/subdocs.html) 
* [Mongoose Document References - Mongoose Population](http://mongoosejs.com/docs/populate.html) 
* [MDN TLS](https://developer.mozilla.org/en-US/docs/Web/Security/Transport_Layer_Security)"," __Due Wednesday 10/16 at 11pm__ 

 * [Homework #05](homework/05.html) 
",
y,holiday,,14-Oct,Mon,Fall Recess: No classes scheduled,,,,
,,12,15-Oct,Tue,"* Object Document Mapper Continued
* Validation
* URL Parameters","* MongoDB, Mongoose from Previous Classes
 * Sessions and Cookies from Previous Classes
 * [Router Objects](slides/14/routers.html)
 * [URL Parameters](slides/14/params.html)
 * [Validation](slides/15/validation.html)","* [Express Routing - Route Parameters](https://expressjs.com/en/guide/routing.html)
* [Mongoose - Validation](https://mongoosejs.com/docs/validation.html)",,
y,,13,16-Oct,Wed,* Review,,,,
y,exam,14,21-Oct,Mon,EXAM #1,,,,
,,15,23-Oct,Wed,"* Authentication
* Authentication Library
* Deployment

<!--
 
 * __new__ User Authentication
 * __new__ OAuth
 * __new__ JWT
 
-->","* Review Routers and URL Parameters
* [Final Project](final-project.html)
* [Authentication](slides/16/auth.html)
* [High-Level Description of SSL/TLS](slides/16/ssl.html)","Programming JavaScript Applications by Eric Elliott 

* [Chapter 6 Access Control (Authentication)](https://www.oreilly.com/library/view/programming-javascript-applications/9781491950289/ch06.html#passwords)

Various Online Articles on Authentication

* [OWASP - Authentication Cheat Sheet](https://cheatsheetseries.owasp.org/cheatsheets/Authentication_Cheat_Sheet.html)
* [NIST – Recommendation for Password-Based Key Derivation](http://csrc.nist.gov/publications/nistpubs/800-132/nist-sp800-132.pdf)
* [How to securely hash passwords](http://security.stackexchange.com/questions/211/how-to-securely-hash-passwords)
* [Salted Password Hashing - Doing it Right](https://crackstation.net/hashing-security.htm)

Using Passport JS

* [PassportJS Documentation](http://passportjs.org/docs)
* [From passport-local-mongoose](https://github.com/saintedlama/passport-local-mongoose/tree/master/examples/login)
* [From mherman.org](http://mherman.org/blog/2015/01/31/local-authentication-with-passport-and-express-4/#.VjGSOq6rSRs)
* [From scotch.io](http://scotch.io/tutorials/javascript/easy-node-authentication-setup-and-local)","__Due Monday 10/28 at 11pm:__
 
* [Final Project Miletsone #01](final-project.html#milestone1)
* Quiz 4 and 5: Auth and Sessions/Cookies, HTML and CSS (to be posted)",
,,16,28-Oct,Mon,"* HTML Primer
* Accessibility on the Web
* JavaScript and the Browser
* The Document Object Model
* Manipulating Elements","* [HTML Primer, JavaScript and the Browser](slides/17/javascript-browser.html)
 * [The Document Object Model](slides/17/dom.html)
 * [DOM Continued sample markup](code/dom-continued.html)
 * [Attributes](slides/17/attributes.html)
 * [Modifying and Adding Elements](slides/18/modifying-creating.html)
 * [Some Sample Markup](code/class18.html)
 * [Layout and Style](slides/19/layout-style.html)","{{ site.book_js_5 }}

* [Chapter 13 - JavaScript and the Browser](http://eloquentjavascript.net/13_browser.html)
* [Chapter 14 - The Document Object Model](http://eloquentjavascript.net/14_dom.html)

HTML Tutorials

* [MDN - Introduction to the DOM](https://developer.mozilla.org/en-US/docs/Web/API/Document_Object_Model/Introduction)
* [MDN - Introduction to HTML](https://developer.mozilla.org/en-US/docs/Learn/HTML/Introduction_to_HTML)
* [MDN - Accessibility](https://developer.mozilla.org/en-US/docs/Web/Accessibility)
* [HTML and CSS from shayhowe.com](http://learn.shayhowe.com/html-css/getting-to-know-html/)
","<!--
<strike>Due Friday 4/12 at 11pm:</strike>
 __Due Saturday 4/13 at 11pm:__
 
 * [Homework #6](homework/06.html)
 * [Final Project Milestone #02](final-project.html#milestone2)

-->",
y,,17,30-Oct,Wed,* CSS,"* [JavaScript Timers](slides/19/timers.html)
* [CSS](slides/19/css.html)
* (Optional / Briefly) Flexbox
* (Optional / Briefly) Grids
","* [HTML and CSS from shayhowe.com](http://learn.shayhowe.com/html-css/getting-to-know-html/)
* [MDN - Introduction to CSS](https://developer.mozilla.org/en-US/docs/Learn/CSS/Introduction_to_CSS#Guides)",,
y,,18,4-Nov,Mon,"* CSS Continued
* Events / Timers","* [Selectors, JS and CSS](slides/19/js-css.html)
* [Events](slides/19/events.html)

","{{ site.book_js_5 }} 

* [Chapter 15 Events](http://eloquentjavascript.net/15_event.html)
","__Due Saturday 4/20 at 11pm:__
 
 * [Homework #7](homework/07.html)
 * [Final Project Milestone #03](final-project.html#milestone03)",
y,,19,6-Nov,Wed,"* AJAX
* Same Origin Policy
* Cross Site Scripting
* Working with APIs","* Events / Timers Review
* [Ajax Part 1](slides/20/ajax.html)","Programming JavaScript Applications by Eric Elliott

* [Chapter 8 Building Restful APIs](https://www.oreilly.com/library/view/programming-javascript-applications/9781491950289/ch08.html)

MDN Articles on AJAX

* [MDN - AJAX Getting Started](https://developer.mozilla.org/en-US/docs/Web/Guide/AJAX/Getting_Started)
* [MDN - Same Origin Policy](https://developer.mozilla.org/en-US/docs/Web/Security/Same-origin_policy)
* [MDN - Cross Site Scripting](https://developer.mozilla.org/en-US/docs/Glossary/Cross-site_scripting)

OWASP

* [OWASP - Cross Site Scripting](https://www.owasp.org/index.php/Cross-site_Scripting_(XSS))",,m1 due
y,,20,11-Nov,Mon,"* AJAX Continued
* Polling
* Promises","* [Ajax Part 2](slides/21/ajax-express.html)
* [Promises](slides/21/promises.html)
* AJAX Polling
* [Example Code for AJAX Polling / Chat](code/chat.zip)
","{{ site.book_js_5 }} 

* [Chapter 11 Asynchronous Programming (Promises)])(http://eloquentjavascript.net/11_async.html#h_sdRy5CTAP/_)

{{ site.book_js_2 }} 

* [Chapters 25 Promises for asynchronous programming](https://exploringjs.com/es6/ch_promises.html)

MDN

* [MDN - Promises](https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Promise)",HW 8 AJAX,
y,,21,13-Nov,Wed,"* Promises Continued
* fetch 
* async / await","* Example Code for AJAX and Promises
* [app.js](examples/ajax-promises/app.js)
* [package.json](examples/ajax-promises/package.json)
* [public/index.html](examples/ajax-promises/public/index.html)
* [public/js/main.js](examples/ajax-promises/public/js/main.js)","{{ site.book_js_5 }} 

* Eloquent JavaScript 3rd Edition by Marijn Haverbeke, Chapter 11 Asynchronous Programming (Async Functions)

MDN Articles

* [MDN - Using Fetch](https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API/Using_Fetch)
* [MDN - Async Await](https://developer.mozilla.org/en-US/docs/Learn/JavaScript/Asynchronous/Async_await)","<!--__Due Monday 4/24 at 11pm:__ 
 
 * [Homework #9](homework/09.html)
 -->
 
 <!--
 * [Final Project Miletsone #03](final-project.html#milestone03)
 -->",m2 due
y,,22,18-Nov,Mon,* Realtime Web Applications,"* [Websockets and socket.io](slides/23/socketio.html)
* [Rooms](slides/25/socketio-rooms.html)
* Websockets and socket.io Examples
* [app.js](examples/websockets-demo/app.js) (server)
* [public/main.js](examples/websockets-demo/public/main.js) (client)
* [public/index.html](examples/websockets-demo/public/index.html) (client)",")* Node: Up and Running by Mike Wilson, Tom Hughes-Croucher, Part 2 Chapter 7 Important External Modules (Socket.IO)
* [Socket.IO Overview](https://socket.io/docs/)

* [Hello World](https://facebook.github.io/react/docs/hello-world.html) and [Official Tutorial](https://facebook.github.io/react/tutorial/tutorial.html)
 * [Build With React](http://buildwithreact.com/)
 * [React Events](https://facebook.github.io/react/docs/events.html#supported-events)
 * [Using create-react-app](https://github.com/facebookincubator/create-react-app/blob/master/README.md#getting-started)","Due Monday 4/29 at 11pm
 
 * [Final Project Submission Form](https://docs.google.com/forms/d/e/1FAIpQLSfpI94OS-dQkjFpPgVuYyJm2Yo7-kmcUPEX6qF97PmH25f_Ww/viewform)
 
 
 <!--
 Due __today__ while you're in class:
 
 * [Form to submit](https://docs.google.com/forms/d/e/1FAIpQLSde-vCFp3eJ9vFII9534X_FErSum5G8j3r2q4Uide7skzszaQ/viewform)
 -->",
y,,23,20-Nov,Wed,* Realtime Web Applications Continued,See lab instructions,See previous class,"__Due Today (4/24) at 11pm__
 
 * [React Lab / Homework 08](homework/react-lab.html)
 * [Boilerplate React on glitch](https://glitch.com/edit/#!/remix/starter-react) (use app.jsx), [codepen](https://codepen.io), etc. 
 * [Form to Submit URL and Code](https://docs.google.com/forms/d/e/1FAIpQLScj7vvs0AI3i5nS-NsWU_CC7RPpOz_YvR_CaDrjpzkVOK-cpQ/viewform)
 * __Everyone should submit a form!__ (even if you're in the same group)
 * __Final Project Due Monday 4/29 at 11pm__
 
 
 <!--__Reminders__: 
 
 * React Lab on Wednesday, 4/25
 * Final Exam 5/7
 -->",m3 due
y,,24,25-Nov,Mon,* Frontend Framework,"* [React Basics](slides/26/react.html) (from previous class)
* [React Revisited](slides/26/react-state-parent.html) (from previous class)
* [React and Express / Using Webpack](slides/26/react-webpack-continued.html)
* Example Code: [index.js / Sum of Counters, Text Input](examples/react/demo/src/index.js) (Parent and Child Components, Text Input)
* Example with React and fetch
* [index.js](examples/react-parents/demo/src/index.js) (React)
* [app.js](examples/react-parents/api/app.js) (Express API)
* [db.js](examples/react-parents/api/db.js) (Mongoose Schema)
 
 <!--
 * React review, multiple child clickers and forms
 * React lab demo
 -->","* [React Hello World](https://facebook.github.io/react/docs/hello-world.html) and [React Official Tutorial](https://facebook.github.io/react/tutorial/tutorial.html)
* [Build With React](http://buildwithreact.com/)
* [React Events](https://facebook.github.io/react/docs/events.html#supported-events)
* [React Using create-react-app](https://github.com/facebookincubator/create-react-app/blob/master/README.md#getting-started)",,
y,,25,2-December,Mon,* Frontend Framework Continued,See lab instructions,"Same as previous class

Practice Questions
 
 * [Practice Questions](resources/handouts/final/final_exam_practice.pdf)
 * [Practice Questions Solutions](resources/handouts/final/final_exam_practice_solutions.pdf)
 * [Practice Questions Set 2](resources/handouts/final/final_exam_practice_2.pdf)
 * [Practice Questions Set 2 Solutions](resources/handouts/final/final_exam_practice_2_solutions.pdf)","Due __today__ while you're in class:
 
 * [Socket IO Lab](homework/socket-io-lab.html)
 * [8AM Section: Form to submit](https://docs.google.com/forms/d/e/1FAIpQLSdv48myt0n46KOknno3jM-wREpmcsDHM3omfp0zuXla2x4Q-w/viewform)
 * [11AM Section: Form to submit](https://docs.google.com/forms/d/e/1FAIpQLSe1twiz1Tw9IrXorK76woaA0lH0bYjvnNzQPgRutYgO5K5zlg/viewform)
 
 <!--
 Due 4/27 at 11pm
 
 * [final project instructions](final-project.html#final_submit)
 * [submit final project using this form](https://docs.google.com/forms/d/e/1FAIpQLSeAwaHmPxvmWzvMYHdswd5h72ZUhwPvL-57sK-S4CyBn_jxpQ/viewform)
 -->",
y,,26,4-Dec,Wed,"* Build tools 
* Integration of all technologies","* (Optional) [React and Express / Using Webpack](slides/26/react-webpack-continued.html)
",,* TBD Lab,
y,,27,9-Dec,Mon,* Review,,,,
y,exam,28,11-Dec,Wed,EXAM #2,,,,
